Date,Country,City,Specie,Value
6/14/2019,IN,Chandigarh,so2,3.0
6/14/2019,IN,Chandigarh,wind-speed,2.3
6/14/2019,IN,Chandigarh,humidity,33.9
6/14/2019,IN,Chandigarh,pm25,118.0
6/14/2019,IN,Chandigarh,no2,6.1
6/14/2019,IN,Chandigarh,dew,12.6
6/14/2019,IN,Chandigarh,co,3.5
6/14/2019,IN,Chandigarh,temperature,34.5
6/15/2019,IN,Chandigarh,pressure,736.7
6/15/2019,IN,Chandigarh,o3,40.6
6/15/2019,IN,Chandigarh,so2,11.5
6/15/2019,IN,Chandigarh,wind-speed,3.7
6/15/2019,IN,Chandigarh,humidity,21.9
6/15/2019,IN,Chandigarh,pm25,124.3
6/15/2019,IN,Chandigarh,no2,12.1
6/15/2019,IN,Chandigarh,pm10,244.0
6/15/2019,IN,Chandigarh,dew,12.7
6/15/2019,IN,Chandigarh,co,3.8
6/15/2019,IN,Chandigarh,temperature,32.5
6/16/2019,IN,Chandigarh,pressure,737.5
6/16/2019,IN,Chandigarh,o3,28.6
6/16/2019,IN,Chandigarh,so2,8.1
6/16/2019,IN,Chandigarh,wind-speed,3.0
6/16/2019,IN,Chandigarh,humidity,43.6
6/16/2019,IN,Chandigarh,pm25,104.0
6/16/2019,IN,Chandigarh,no2,7.5
6/16/2019,IN,Chandigarh,pm10,97.0
6/16/2019,IN,Chandigarh,dew,18.6
6/16/2019,IN,Chandigarh,co,2.9
6/16/2019,IN,Chandigarh,temperature,31.7
6/17/2019,IN,Chandigarh,pressure,738.3
6/17/2019,IN,Chandigarh,o3,25.8
6/17/2019,IN,Chandigarh,so2,8.8
6/17/2019,IN,Chandigarh,wind-speed,3.1
6/17/2019,IN,Chandigarh,humidity,57.1
6/17/2019,IN,Chandigarh,pm25,110.7
6/17/2019,IN,Chandigarh,no2,8.1
6/17/2019,IN,Chandigarh,pm10,185.0
6/17/2019,IN,Chandigarh,dew,19.4
6/17/2019,IN,Chandigarh,co,2.8
6/17/2019,IN,Chandigarh,temperature,30.2
6/18/2019,IN,Chandigarh,pressure,739.0
6/18/2019,IN,Chandigarh,o3,21.2
6/18/2019,IN,Chandigarh,so2,4.3
6/18/2019,IN,Chandigarh,wind-speed,2.5
6/18/2019,IN,Chandigarh,humidity,50.8
6/18/2019,IN,Chandigarh,pm25,75.0
6/18/2019,IN,Chandigarh,no2,11.6
6/18/2019,IN,Chandigarh,pm10,50.0
6/18/2019,IN,Chandigarh,dew,20.1
6/18/2019,IN,Chandigarh,co,3.0
6/18/2019,IN,Chandigarh,temperature,20.0
6/19/2019,IN,Chandigarh,pressure,737.6
6/19/2019,IN,Chandigarh,o3,32.2
6/19/2019,IN,Chandigarh,so2,9.1
6/19/2019,IN,Chandigarh,wind-speed,2.9
6/19/2019,IN,Chandigarh,humidity,57.7
6/19/2019,IN,Chandigarh,pm25,131.3
6/19/2019,IN,Chandigarh,no2,20.0
6/19/2019,IN,Chandigarh,pm10,128.7
6/19/2019,IN,Chandigarh,dew,20.2
6/19/2019,IN,Chandigarh,co,4.7
6/19/2019,IN,Chandigarh,temperature,30.5
6/20/2019,IN,Chandigarh,pressure,737.0
6/20/2019,IN,Chandigarh,o3,37.2
6/20/2019,IN,Chandigarh,so2,6.1
6/20/2019,IN,Chandigarh,wind-speed,3.9
6/20/2019,IN,Chandigarh,humidity,60.0
6/20/2019,IN,Chandigarh,pm25,121.3
6/20/2019,IN,Chandigarh,no2,14.2
6/20/2019,IN,Chandigarh,pm10,117.0
6/20/2019,IN,Chandigarh,dew,20.1
6/20/2019,IN,Chandigarh,co,4.1
6/20/2019,IN,Chandigarh,temperature,30.1
6/21/2019,IN,Chandigarh,pressure,737.2
6/21/2019,IN,Chandigarh,o3,43.6
6/21/2019,IN,Chandigarh,so2,17.1
6/21/2019,IN,Chandigarh,wind-speed,2.0
6/21/2019,IN,Chandigarh,humidity,49.2
6/21/2019,IN,Chandigarh,pm25,199.3
6/21/2019,IN,Chandigarh,no2,16.3
6/21/2019,IN,Chandigarh,pm10,82.7
6/21/2019,IN,Chandigarh,dew,19.3
6/21/2019,IN,Chandigarh,co,4.0
6/21/2019,IN,Chandigarh,temperature,31.2
6/22/2019,IN,Chandigarh,pressure,740.7
6/22/2019,IN,Chandigarh,o3,47.7
6/22/2019,IN,Chandigarh,so2,14.3
6/22/2019,IN,Chandigarh,wind-speed,2.3
6/22/2019,IN,Chandigarh,humidity,43.1
6/22/2019,IN,Chandigarh,pm25,130.0
6/22/2019,IN,Chandigarh,no2,13.4
6/22/2019,IN,Chandigarh,pm10,87.0
6/22/2019,IN,Chandigarh,dew,19.6
6/22/2019,IN,Chandigarh,co,3.3
6/22/2019,IN,Chandigarh,temperature,33.4
6/23/2019,IN,Chandigarh,pressure,738.2
6/23/2019,IN,Chandigarh,o3,42.2
6/23/2019,IN,Chandigarh,so2,6.5
6/23/2019,IN,Chandigarh,wind-speed,3.1
6/23/2019,IN,Chandigarh,humidity,53.4
6/23/2019,IN,Chandigarh,pm25,121.3
6/23/2019,IN,Chandigarh,no2,8.1
6/23/2019,IN,Chandigarh,pm10,78.7
6/23/2019,IN,Chandigarh,dew,21.1
6/23/2019,IN,Chandigarh,co,3.4
6/23/2019,IN,Chandigarh,temperature,32.2
6/24/2019,IN,Chandigarh,pressure,740.8
6/24/2019,IN,Chandigarh,o3,18.4
6/24/2019,IN,Chandigarh,so2,5.4
6/24/2019,IN,Chandigarh,wind-speed,2.9
6/24/2019,IN,Chandigarh,humidity,62.5
6/24/2019,IN,Chandigarh,pm25,102.7
6/24/2019,IN,Chandigarh,no2,8.6
6/24/2019,IN,Chandigarh,pm10,62.3
6/24/2019,IN,Chandigarh,dew,22.6
6/24/2019,IN,Chandigarh,co,4.2
6/24/2019,IN,Chandigarh,temperature,30.9
6/25/2019,IN,Chandigarh,pressure,737.5
6/25/2019,IN,Chandigarh,o3,22.8
6/25/2019,IN,Chandigarh,so2,9.3
6/25/2019,IN,Chandigarh,wind-speed,1.9
6/25/2019,IN,Chandigarh,humidity,60.4
6/25/2019,IN,Chandigarh,pm25,109.0
6/25/2019,IN,Chandigarh,no2,9.1
6/25/2019,IN,Chandigarh,pm10,60.0
6/25/2019,IN,Chandigarh,dew,23.3
6/25/2019,IN,Chandigarh,co,4.0
6/25/2019,IN,Chandigarh,temperature,31.9
6/26/2019,IN,Chandigarh,pressure,742.2
6/26/2019,IN,Chandigarh,o3,32.5
6/26/2019,IN,Chandigarh,so2,11.7
6/26/2019,IN,Chandigarh,wind-speed,2.9
6/26/2019,IN,Chandigarh,humidity,51.6
6/26/2019,IN,Chandigarh,pm25,163.3
6/26/2019,IN,Chandigarh,no2,11.1
6/26/2019,IN,Chandigarh,pm10,76.3
6/26/2019,IN,Chandigarh,dew,21.8
6/26/2019,IN,Chandigarh,co,6.4
6/26/2019,IN,Chandigarh,temperature,33.5
6/27/2019,IN,Chandigarh,pressure,737.1
6/27/2019,IN,Chandigarh,o3,30.2
