Date,Country,City,Specie,count,min,max,median,variance,,
2/11/2017,IN,Delhi,co,230,0.1,62,10.4,1305.03,,
2/11/2017,IN,Delhi,pm10,110,56,999,146,292441,,
2/11/2017,IN,Delhi,o3,202,0.1,62.4,4.5,2291.27,,
2/11/2017,IN,Delhi,so2,229,0.9,21.5,6.5,256.38,,
2/11/2017,IN,Delhi,pm25,288,80,824,184,39050.9,,
2/11/2017,IN,Delhi,no2,302,2.6,81.5,24.2,2277.38,,
2/12/2017,IN,Delhi,co,206,0.1,346.9,8.2,6306.24,,
2/12/2017,IN,Delhi,pm10,107,91,999,140,222919,,
2/12/2017,IN,Delhi,o3,191,0.5,114.6,5.7,5846.1,,
2/12/2017,IN,Delhi,so2,225,1.3,63.5,7.7,874.94,,
2/12/2017,IN,Delhi,pm25,296,152,511,197,26024.9,,
2/12/2017,IN,Delhi,no2,293,0.4,74.5,24.5,2322.02,,
2/13/2017,IN,Delhi,co,218,0.1,38,8.4,658.42,,
2/13/2017,IN,Delhi,pm10,120,60,999,137,170933,,
2/13/2017,IN,Delhi,o3,194,0.5,103.5,6.5,3956.16,,
2/13/2017,IN,Delhi,so2,222,1.3,30.4,6.1,349.69,,
2/13/2017,IN,Delhi,pm25,280,103,824,191,30496.7,,
2/13/2017,IN,Delhi,no2,294,0.8,79.7,26.4,2930.74,,
2/14/2017,IN,Delhi,co,216,0.1,54.6,10,881.74,,
2/14/2017,IN,Delhi,pm10,115,60,935,161,209078,,
2/14/2017,IN,Delhi,o3,203,0.9,73.6,10.2,3131.48,,
2/14/2017,IN,Delhi,so2,218,0.9,37.7,6.3,290.59,,
2/14/2017,IN,Delhi,pm25,281,129,583,198,34939.6,,
2/14/2017,IN,Delhi,no2,290,0.4,78.7,26,3353.46,,
2/15/2017,IN,Delhi,co,237,0.1,319.1,9.4,4653.75,,
2/15/2017,IN,Delhi,pm10,107,59,999,176,233906,,
2/15/2017,IN,Delhi,o3,212,0.1,157.9,4.9,4204.64,,
2/15/2017,IN,Delhi,so2,236,0.5,64.9,6.5,661.37,,
2/15/2017,IN,Delhi,pm25,285,117,420,196,29770.9,,
2/15/2017,IN,Delhi,no2,306,0.4,86.4,27.5,3630.22,,
2/16/2017,IN,Delhi,co,230,0.1,237.9,6.7,2770.14,,
2/16/2017,IN,Delhi,pm10,120,84,531,168,73421.3,,
2/16/2017,IN,Delhi,o3,211,0.9,62.9,10.3,1696.53,,
2/16/2017,IN,Delhi,so2,232,0.5,56.2,7.3,389.32,,
2/16/2017,IN,Delhi,pm25,296,58,420,193,32718.9,,
2/16/2017,IN,Delhi,no2,302,1.9,73.4,23.8,2899.81,,
2/17/2017,IN,Delhi,co,232,0.1,236.6,7.3,3012.76,,
2/17/2017,IN,Delhi,pm10,104,85,679,144,124004,,
2/17/2017,IN,Delhi,o3,203,0.1,96.2,9.4,2042.23,,
2/17/2017,IN,Delhi,so2,218,0.2,60.1,6.5,366.24,,
2/17/2017,IN,Delhi,pm25,267,53,392,178,22884,,
2/17/2017,IN,Delhi,no2,301,1.5,76.8,20.9,2318.24,,
2/18/2017,IN,Delhi,co,235,0.1,235.1,6.1,3018.83,,
2/18/2017,IN,Delhi,pm10,96,51,868,139,247659,,
2/18/2017,IN,Delhi,o3,186,0.5,106.8,4.9,2937.82,,
2/18/2017,IN,Delhi,so2,232,0.5,55.3,6.7,455.43,,
2/18/2017,IN,Delhi,pm25,280,63,310,177,11988.8,,
2/18/2017,IN,Delhi,no2,306,1.1,74.4,23.8,2648.05,,
2/19/2017,IN,Delhi,co,199,0.1,228.4,8.2,4402.66,,
2/19/2017,IN,Delhi,pm10,88,62,999,155,398979,,
2/19/2017,IN,Delhi,o3,184,0.2,133.8,5.7,4091.47,,
2/19/2017,IN,Delhi,so2,231,0.9,55.7,6.5,477.75,,
2/19/2017,IN,Delhi,pm25,272,87,824,183,37917,,
2/19/2017,IN,Delhi,no2,300,0.8,66.9,22.4,2404.8,,
2/20/2017,IN,Delhi,co,216,0.1,350.6,9.4,6831.11,,
2/20/2017,IN,Delhi,pm10,97,50,999,172,382799,,
2/20/2017,IN,Delhi,o3,186,0.1,212,7,7434.12,,
2/20/2017,IN,Delhi,so2,228,0.5,56.7,7.3,652.11,,
2/20/2017,IN,Delhi,pm25,289,53,824,193,75346.2,,
2/20/2017,IN,Delhi,no2,279,0.8,84.4,21.5,3191.71,,
2/21/2017,IN,Delhi,co,236,0.1,396.5,6.1,7920.71,,
2/21/2017,IN,Delhi,pm10,119,19,966,143,146720,,
2/21/2017,IN,Delhi,o3,215,0.5,76.6,9.9,1698.55,,
2/21/2017,IN,Delhi,so2,232,0.5,55.7,5.4,425.39,,
2/21/2017,IN,Delhi,pm25,308,34,736,176,21061,,
2/21/2017,IN,Delhi,no2,284,1.5,62.2,16.1,2074.62,,
2/22/2017,IN,Delhi,co,217,0.1,42.4,7.7,688.79,,
2/22/2017,IN,Delhi,pm10,119,20,999,134,187538,,
2/22/2017,IN,Delhi,o3,195,0.2,118,7.7,5055.02,,
2/22/2017,IN,Delhi,so2,228,0.5,55.7,6.8,456.24,,
2/22/2017,IN,Delhi,pm25,286,15,999,172,75389.4,,
2/22/2017,IN,Delhi,no2,280,0.4,84,16.5,3258.86,,
2/23/2017,IN,Delhi,co,211,0.1,24.3,7.7,315.86,,
2/23/2017,IN,Delhi,pm10,114,60,936,115,211749,,
2/23/2017,IN,Delhi,o3,164,0.1,101.4,11.9,3448.17,,
2/23/2017,IN,Delhi,so2,210,0.4,55.7,5.3,523.41,,
2/23/2017,IN,Delhi,pm25,282,57,420,161,25413.6,,
2/23/2017,IN,Delhi,no2,282,2.6,76.4,18.3,2118.75,,
2/24/2017,IN,Delhi,co,200,0.1,377.1,6.9,7319.3,,
2/24/2017,IN,Delhi,pm10,109,58,499,100,56105.4,,
2/24/2017,IN,Delhi,o3,162,0.2,103.9,17.8,3604.69,,
2/24/2017,IN,Delhi,so2,199,0.9,55.7,5,332.08,,
2/24/2017,IN,Delhi,pm25,269,74,420,158,54255.9,,
2/24/2017,IN,Delhi,no2,270,5.9,62.3,16.7,1544.64,,
2/25/2017,IN,Delhi,co,206,0.1,381.9,8.9,7265.08,,
2/25/2017,IN,Delhi,pm10,91,50,403,100,33003.6,,
2/25/2017,IN,Delhi,o3,186,0.1,103.2,15.2,2672.59,,
2/25/2017,IN,Delhi,so2,204,0.5,55.7,5.7,355.12,,
2/25/2017,IN,Delhi,pm25,278,58,420,159,54633,,
2/25/2017,IN,Delhi,no2,279,1.5,130.1,17.5,2760.87,,
2/26/2017,IN,Delhi,co,220,0.1,86.4,6.4,1260.99,,
2/26/2017,IN,Delhi,pm10,103,52,448,126,44650.5,,
2/26/2017,IN,Delhi,o3,177,0.1,112.6,12.3,4591.94,,
2/26/2017,IN,Delhi,so2,218,0.5,20.7,6.2,245.83,,
2/26/2017,IN,Delhi,pm25,291,61,420,172,52067,,
2/26/2017,IN,Delhi,no2,292,0.7,67.7,18.7,2279.6,,
2/27/2017,IN,Delhi,co,237,0.1,382,8.8,7077.34,,
2/27/2017,IN,Delhi,pm10,118,21,597,131,97756.3,,
2/27/2017,IN,Delhi,o3,191,0.1,123,10.6,6061.39,,
2/27/2017,IN,Delhi,so2,235,0.9,55.7,5.7,393.53,,
2/27/2017,IN,Delhi,pm25,292,40,420,173,37367.3,,
